d[,då
h[rbund,hårbund
h[rb[nd,hårbånd
h[rb[nd,hårbånd
h[rdere,hårdere
h[rdfør,hårdfør
h[rdhed,hårdhed
h[rfine,hårfine
h[rfint,hårfint
h[rgele,hårgele
h[rkant,hårkant
h[rkure,hårkure
h[rløse,hårløse
h[rløst,hårløst
h[rn[le,hårnåle
h[rn[le,hårnåle
h[rpisk,hårpisk
h[rside,hårside
h[rstr[,hårstrå
h[rstr[,hårstrå
h[rvalk,hårvalk
h[rvand,hårvand
h[rvask,hårvask
imødeg[,imødegå
imødes[,imødeså
indest[,indestå
indg[et,indgået
indl[ne,indlåne
indl[nt,indlånt
indsl[r,indslår
ind[nde,indånde
isb[den,isbåden
jubel[r,jubelår
juleg[s,julegås
jævnm[l,jævnmål
kampr[b,kampråb
kamp[nd,kampånd
kinak[l,kinakål
kirke[r,kirkeår
klapl[g,klaplåg
knurh[r,knurhår
kodel[s,kodelås
koksgr[,koksgrå
koldn[l,koldnål
koneb[d,konebåd
kornbl[,kornblå
kortn[l,kortnål
krigs[r,krigsår
krise[r,kriseår
krumn[l,krumnål
krush[r,krushår
krølh[r,krølhår
kuldsl[,kuldslå
kultr[d,kultråd
kul[ren,kulåren
kul[rer,kulårer
kysh[nd,kyshånd
kædel[s,kædelås
kærem[l,kæremål
købsl[r,købslår
kødn[le,kødnåle
kølb[de,kølbåde
k[berne,kåberne
k[lrabi,kålrabi
k[lroen,kålroen
k[lroer,kålroer
k[lstok,kålstok
k[rende,kårende
lamsl[r,lamslår
langk[l,langkål
ledb[nd,ledbånd
ledsk[l,ledskål
lejem[l,lejemål
lejrb[l,lejrbål
lever[b,leveråb
ligb[re,ligbåre
lillet[,lilletå
livb[de,livbåde
